word_number;sentence;pronoun;variants
0;['Моєму', 'старшому', 'брату', '(', 'є', ')', '29', 'років', '.'];Моєму;['Мій', 'Мого']
1;['У', 'мене', 'є', 'мама', ',', 'тато', ',', 'троє', 'братів', 'і', 'дві', 'сестри', '.'];мене;['я', 'мені']
0;['Я', 'шукаю', 'супермаркет', '.'];Я;['Мене', 'Мені']
1;['У', 'мене', 'також', 'є', 'бабуся', 'і', 'дідусь', '.'];мене;['я', 'мені']
1;['Тут', 'я', 'дізнаюся', 'дуже', 'багато', 'нового', 'і', 'цікавого', '.'];я;['мене', 'мені']
0;['Мені', 'потрібен', 'йогурт', 'і', 'вівсянка', '.'];Мені;['Я', 'Мене']
0;['Це', 'твій', 'одногрупник', '?'];Це;['Цього', 'Цьому', 'Цім']
1;['Це', 'твій', 'одногрупник', '?'];твій;['твого', 'твоєму']
0;['Я', 'навчаюся', 'на', 'другому', '(', '2', ')', 'курсі', '.'];Я;['Мене', 'Мені']
0;['Я', 'люблю', 'свою', "сім'ю", '.'];Я;['Мене', 'Мені']
5;['Щоб', 'донести', 'продукти', 'додому', ',', 'тобі', 'потрібен', 'пакет', '.'];тобі;['ти', 'тебе']
1;['Як', 'тебе', 'звати', '?'];тебе;['ти', 'тобі']
0;['Вона', 'пенсіонерка', '(', 'на', 'пенсії', ')', '.'];Вона;['Її', 'Їй', 'Ній']
0;['Вона', 'складається', 'з', '5', 'чоловік', ':', 'мама', ',', 'тато', ',', 'я', ',', 'брат', 'і', 'сестра', '.'];Вона;['Її', 'Їй', 'Ній']
10;['Вона', 'складається', 'з', '5', 'чоловік', ':', 'мама', ',', 'тато', ',', 'я', ',', 'брат', 'і', 'сестра', '.'];я;['мене', 'мені']
0;['Я', 'шукаю', 'помідори', 'і', 'банани', '.'];Я;['Мене', 'Мені']
0;['Я', 'дуже', 'люблю', 'гуляти', 'в', 'ботанічному', 'саду', 'весною', '.'];Я;['Мене', 'Мені']
0;['Мій', 'друг', 'замовив', 'лате', ',', 'а', 'я', 'замовила', 'чай', '.'];Мій;['Мого', 'Моєму']
6;['Мій', 'друг', 'замовив', 'лате', ',', 'а', 'я', 'замовила', 'чай', '.'];я;['мене', 'мені']
