word_number;sentence;pronoun;variants
1;['У',  'мене',  'не',  '(',  'є',  ')',  'велика',   "сім'я ",  '.'];мене;['я',  'мені']
0;['Моя',   "сім'я ",  '—',  'це',  'я',  ',',  'мама',  'і',  'тато',  '.'];Моя;['Моєї',  'Моїй',  'Мою']
3;['Моя',   "сім'я ",  '—',  'це',  'я',  ',',  'мама',  'і',  'тато',  '.'];це;['цього',  'цьому',  'цім']
4;['Моя',   "сім'я ",  '—',  'це',  'я',  ',',  'мама',  'і',  'тато',  '.'];я;['мене',  'мені']
0;['Мого',  'тата',  'звати',  'Іван',  '.'];Мого;['Мій',  'Моєму']
0;['Мою',  'маму',  'звати',  'Олена',  '.'];Мою;['Моя',  'Моєї',  'Моїй']
1;['У',  'мене',  'немає',  'братів',  'та',  'сестер',  '.'];мене;['я',  'мені']
0;['Я',  'люблю',  'своїх',  'батьків',  '.'];Я;['Мене',  'Мені']
2;['Я',  'люблю',  'своїх',  'батьків',  '.'];своїх;['свої',  'своїм']
0;['Я',  'також',  'маю',  'бабусю',  '.'];Я;['Мене',  'Мені']
0;['Її',  'звати',  'Олена',  '.'];Її;['Вона',  'Їй',  'Ній']
0;['Їй',  '70',  'років',  '.'];Їй;['Вона',  'Її',  'Ній']
0;['Вона',  'пенсіонерка',  '(',  'на',  'пенсії',  ')',  '.'];Вона;['Її',  'Їй',  'Ній']
0;['Моя',  'бабуся',  'живе',  'за',  'містом',  '.'];Моя;['Моєї',  'Моїй',  'Мою']
0;['Вона',  '(',  'бабуся',  ')',  'живе',  'в',  'приватному',  'будинку',  '.'];Вона;['Її',  'Їй',  'Ній']
0;['Я',  'часто',  'приїжджаю',  'до',  'неї',  '(',  'бабусі',  ')',  'в',  'гості',  '.'];Я;['Мене',  'Мені']
3;['Я',  'часто',  'приїжджаю',  'до',  'неї',  '(',  'бабусі',  ')',  'в',  'гості',  '.'];до;['я',  'мене',  'мені']
4;['Я',  'часто',  'приїжджаю',  'до',  'неї',  '(',  'бабусі',  ')',  'в',  'гості',  '.'];неї;['вона',  'її',  'їй',  'ній']
0;['Вона',  'завжди',  'пригощає',  'мене',  'солодощами',  '.'];Вона;['Її',  'Їй',  'Ній']
3;['Вона',  'завжди',  'пригощає',  'мене',  'солодощами',  '.'];мене;['я',  'мені']
0;['Я',  'дуже',  'її',  'люблю',  '.'];Я;['Мене',  'Мені']
2;['Я',  'дуже',  'її',  'люблю',  '.'];її;['вона',  'їй',  'ній']
0;['Моя',   "сім'я ",  'живе',  'в',  'Києві',  '.'];Моя;['Моєї',  'Моїй',  'Мою']
0;['Вона',  'складається',  'з',  '5',  'чоловік',  ':',  'мама',  ',',  'тато',  ',',  'я',  ',',  'брат',  'та',  'сестра',  '.'];Вона;['Її',  'Їй',  'Ній']
10;['Вона',  'складається',  'з',  '5',  'чоловік',  ':',  'мама',  ',',  'тато',  ',',  'я',  ',',  'брат',  'та',  'сестра',  '.'];я;['мене',  'мені']
0;['Мою',  'сестру',  'звати',  'Ірина',  ',',  'їй',  '20',  'років',  '.'];Мою;['Моя',  'Моєї',  'Моїй']
5;['Мою',  'сестру',  'звати',  'Ірина',  ',',  'їй',  '20',  'років',  '.'];їй;['вона',  'її',  'ній']
3;['Ірина',  'старша',  'від',  'мене',  '.'];мене;['я',  'мені']
0;['Вона',  '(',  'Ірина',  ')',  'вчиться',  'в',  'університеті',  '.'];Вона;['Її',  'Їй',  'Ній']
0;['Вона',  '(',  'Ірина',  ')',  'живе',  'в',  'Харкові',  '.'];Вона;['Її',  'Їй',  'Ній']
0;['Мій',  'брат',  'Андрій',  'живе',  'в',  'Києві',  'з',  'мамою',  'і',  'татом',  '.'];Мій;['Мого',  'Моєму']
0;['Він',  '(',  'Андрій',  ')',  'вчиться',  'в',  'школі',  '.'];Він;['Його',  'Йому',  'Нім']
0;['Він',  'ходить',  'в',  'перший',  'клас',  '.'];Він;['Його',  'Йому',  'Нім']
